Título,Descrição,Tipo da Vaga,Habilidades Necessárias,Site
Analista de ProcessosEngenhariade Manufatura,"até sua vida série;•	Avaliar processos, fazer medições e interpretar, criticamente, com metodologia,dados",Não informado,Não informado,Engenheiro de Dados
Estágio em Administração de Empresas OuEngenhariade Produção,"Descrição: Envio de pesquisas de satisfação para os alunos (separar disciplinas, solicitar bases com osdadosde envio, programar envios); Coleta dosdadose confecção de relatórios.Idiomas:Inglês - Nível BásicoOutros requisitos: - Principais fórmulas no Excel (se, procv, cont.se), tabelas dinâmicas e segmentação dedadosescrita;- Ética profissional e com...",Não informado,Não informado,Engenheiro de Dados
Estagiário(a) emEngenhariaCivil - Departamento de Geotecnia,"Descrição: Atividades:Apoiar na elaboração de planilhas, levantamento dedadosde projeto, compilação dedadosde ensaios.Apoiar na elaboração de desenhos, análise de estabilidade, entre outros, sob a orientação de umEngenheiroSr.Auxiliar a equipe de Engenharia na montagem de memoriais de cálculo e verificação.Apoiar",Não informado,Não informado,Engenheiro de Dados
Estágio emEngenhariaCivil - Ge Aerospace,acompanhamento e controle do procedimento interno de gerenciamento de mudanças;Executar levantamento dedadossolicitações pertinentes ao programa de gerenciamento de mudanças; Auxiliar na busca e levantamento dedados,Não informado,Não informado,Engenheiro de Dados
Estágio emEngenhariaIndustrial | Manaus AM,"O candidato irá auxiliar em atividades relacionadas à melhoria de processos produtivos, análise dedados",Não informado,Não informado,Engenheiro de Dados
"Bolsista Mestre [engenharias, Estatística, Ciências, Matemática] Bosch","tecnologias: realizar um levantamento das tecnologias e modelos disponíveis para IA Generativa, análise dedadosImplementação de agentes de IA: desenvolver agentes de IA capazes de acessar e analisar diferentes fontes dedados, utilizando técnicas de web scraping, acesso a bancos dedadose integração de APIs.•	Integração de avaliações: realizar testes e...",Não informado,Não informado,Engenheiro de Dados
Auxiliar deEngenharia(VAGA Extensiva para Pessoas com Deficiência),Atividades:Auxiliar no desenvolvimento de projetos;Acompanhar a execução de obras;Coletar e analisardados,Não informado,Não informado,Engenheiro de Dados
"Bolsista Mestre [engenharias, Matemática, Estatística] Inova Talentos","IPT.Pré-Requisitos:• Título: Mestre;• Formação: Engenharias, Matemática, Estatística, Física, Ciência deDadosAnalytics;• Propor teses/estudos preditivos para garantir a atualização das estratégias de RH baseada emdados",Não informado,Não informado,Engenheiro de Dados
EngenheiroCivil - Gerente de Projetos - Construção Civil Industrial,"voltada para o relacionamento e engajamentoComportamentos:Visão estratégica, resolutividade, análise dedados",Não informado,Não informado,Engenheiro de Dados
"Bolsista Mestre / Doutor [engenhariaMecânica, Aeroespacial, Naval] - Agrosystem",Definição do design preferencial com curva de resposta para otimização de geometria;• Validação dosdados,Não informado,Não informado,Engenheiro de Dados
EngenheiroMecânico de Manutenção (VAGA Extensiva para Pessoas com Deficiência),"Estamos em busca de umEngenheirode Manutenção e Confiabilidade para se juntar à nossa equipe. técnicas de baixa complexidade na sua área de conhecimento, através da coleta e análise de informações edadosinfraestruturas de médio e grande porte.Outros requisitos: Experiência Desejável:2 anos de experiência comoengenheiro",Não informado,Não informado,Engenheiro de Dados
EngenheiroCivil com Foco em Saneamento (VAGA Extensiva para Pessoas com Deficiência),"Descrição: Estamos em busca de umEngenheiroCivil com foco em atuação em hidráulica ou saneamento para se juntar à nossa equipe.Local: Brasília/DFFormação:EngenheiroCivil, Mestrado em: Hidráulica, Saneamento hídricos.Principais Atividades:Acompanhar e subsidiar tecnicamente o desenvolvimento dos modelos de visualização dedados",Não informado,Não informado,Engenheiro de Dados
Auxiliar de Controle de Obras - Estudante Arquittura e Urbanismo/EngenhariaCivil/ Técnico em Edificações,"Coletar informações edadosdas obras in loco;2. Alimentar planilhas de excel;3. Alimentar o portal com osdadosde obras, projetos e laboratórios;10.",Não informado,Não informado,Engenheiro de Dados
Estágio em Manufatura,"O que você pode esperar sendo um(a) Estagiário(a) de Manufatura/Brakes:Suporte aosEngenheirosem atividades documentações e processos;Auxílio nos processos administrativos na Manufatura da planta de Limeira eEngenheiroCoelho;Suportar osengenheirosdurante os processos de desenvolvimento & VAVE;Suportar em processos , Automação, Software ou áreas correl...",Não informado,Não informado,Engenheiro de Dados
Especialista em Fluídos de Perfuração,"trabalho padrão e gerenciamento dos riscos durante a entrega do serviço.Analise de fluídosCaptura dedadosregulamentares implementando o CAT, autoavaliações e inspeções de poços.Outros requisitos: Formação: Técnica ouEngenheiro",Não informado,Não informado,Engenheiro de Dados
